,<built-in function id>,average,avg_diff,dist_min_max,id,length,max,mean,min,q1,q2,q3,sorted_percentage,std_deviation,target,variance
0,0,690018609.4,-60772349.22,3595020183,0,10,2065156990,690018609.4,-1529863193,-110872221,610386334.5,1769240466,60,1115838126,2,1.25E+18
1,1,-477670039.4,-61358058.22,2819187760,1,10,1226513149,-477670039.4,-1592674611,-1417348204,-359376359,-22313396,50,912653465.1,2,8.33E+17
2,2,-644796414.5,-111282154.2,3543280631,3,10,1554002560,-644796414.5,-1989278071,-1153715082,-913200162,-359477805.3,30,1001225382,2,1.00E+18
3,3,338429051.6,-193478576.2,4025340131,4,10,2062489434,338429051.6,-1962850697,-702210258.5,642515494.5,1352073690,30,1262560529,2,1.59E+18
4,4,749191669.2,-116925601.8,3994654265,5,10,2088556454,749191669.2,-1906097811,423193648.3,1232033288,1376245364,50,1172525999,2,1.37E+18
5,5,-205728891.8,82088128.44,2827280358,6,10,1025655114,-205728891.8,-1801625244,-965960727.8,-38247769.5,562834112,40,965414420.2,2,9.32E+17
6,6,-154366558.4,235716483.3,3479450129,7,10,1603995085,-154366558.4,-1875455044,-1076978482,-215446529.5,786177264.5,50,1083229094,2,1.17E+18
7,7,240196051.3,268402880.4,3854782958,8,10,2110934493,240196051.3,-1743848465,-1133156576,553714691.5,1412110263,50,1420683589,2,2.02E+18
8,8,-375885409.9,-55416883,2994005191,9,10,1071399486,-375885409.9,-1922605705,-1265092705,-156300010.5,211490324.5,50,1006627522,2,1.01E+18
9,9,255599267.2,84049543.78,3407643865,10,10,1610371714,255599267.2,-1797272151,-854855005,678583798,1294282413,40,1171223806,2,1.37E+18
10,0,617221615.6,118076659.3,3199749005,11,10,1686001966,617221615.6,-1513747039,385981705.8,868000940,1230696823,60,908511511.9,2,8.25E+17
11,1,106528657.2,-320720699.1,4052221193,13,10,2046575386,106528657.2,-2005645807,-1348962074,549234313,1446575430,40,1469363718,2,2.16E+18
12,2,-259697986.7,83687799.33,3994439408,14,10,1929258243,-259697986.7,-2065181165,-1027061704,-548521108.5,723541058,40,1253298490,2,1.57E+18
13,3,247172698.5,-80839689.44,3534880342,15,10,2028675355,247172698.5,-1506204987,-819076885,142106971.5,1482712301,40,1276911018,2,1.63E+18
14,4,-294947866.7,149171490.6,3498126037,16,10,1521758323,-294947866.7,-1976367714,-789702413.5,-255010213,492388731,60,1049732197,2,1.10E+18
15,5,-336706325.7,133167584.6,3057059562,17,10,1155294083,-336706325.7,-1901765479,-1403072511,-245556369.5,530752116,40,1100383022,2,1.21E+18
16,6,-154438033.6,-116127415.6,3778426695,21,10,1705508146,-154438033.6,-2072918549,-870375178.5,-272632534.5,749960300,30,1151885043,2,1.33E+18
17,7,213585929.4,-182206245.1,4072368112,22,10,2113388334,213585929.4,-1958979778,-1475565339,390703290,1962517178,40,1674794783,2,2.80E+18
18,8,-831265409.6,-65359434.56,3481594087,23,10,1439679883,-831265409.6,-2041914204,-1811534844,-1340078334,166130916.5,40,1152969554,2,1.33E+18
19,9,-668201876.9,395536429.1,3559827862,25,10,1445558263,-668201876.9,-2114269599,-1541256174,-1031101618,118371211.5,60,1134110233,2,1.29E+18
20,0,-138722226.6,-180184557.2,3721115522,26,10,1857950564,-138722226.6,-1863164958,-921888351.3,-208040199.5,95800016.25,50,1157842766,2,1.34E+18
21,1,-154464264.2,-197679549.6,3996009495,27,10,2025478781,-154464264.2,-1970530714,-1173248156,-271034930.5,705462334.3,50,1319963786,2,1.74E+18
22,2,160264758.3,138102468.9,3231298707,28,10,1722805282,160264758.3,-1508493425,-698102946.8,183651154,1148380683,40,1095916345,2,1.20E+18
23,3,-174762834.3,-272040395.4,3768548620,29,10,1953649264,-174762834.3,-1814899356,-1331083498,-533784255.5,1032844074,40,1309902272,2,1.72E+18
24,4,74242108.8,77559448.56,3493397655,30,10,2034849400,74242108.8,-1458548255,-1078486875,181487572,680267853.3,50,1151968911,2,1.33E+18
25,5,-359434585.6,-44507152.44,3186050343,33,10,1401823632,-359434585.6,-1784226711,-916367180,-471470056.5,271163812.8,40,950296865.6,2,9.03E+17
26,6,22236735.9,38263250.44,3714394708,34,10,1864097369,22236735.9,-1850297339,-553838579.5,-191477964,784943064.3,40,1053140901,2,1.11E+18
27,7,136407852.3,-274078995.7,3183504706,35,10,1968947278,136407852.3,-1214557428,-899169558.8,-16974476.5,1155996806,50,1126263691,2,1.27E+18
28,8,533860998.5,-198983405.1,3096513006,36,10,1563663112,533860998.5,-1532849894,-135634053.3,855084966,1240724884,30,934617913.3,2,8.74E+17
29,9,-393568038.2,-217234561.3,3445403653,37,10,1526283132,-393568038.2,-1919120521,-1248204262,-1023029970,713923273.5,50,1180887753,2,1.39E+18
30,0,-116342482,209008469.2,3404058515,38,10,1264016537,-116342482,-2140041978,-561102051.3,3345559.5,348582436.3,50,962293413.3,2,9.26E+17
31,1,100910090.9,90631451,3147709195,41,10,2058333921,100910090.9,-1089375274,-712011020.3,82265022,660094266.8,50,926327805.7,2,8.58E+17
32,2,-171026282.7,69163343.67,2904602090,43,10,834772240,-171026282.7,-2069829850,-772728942.8,218126404.5,591326740.8,50,914710782.3,2,8.37E+17
33,3,29045307.3,-213376301.7,3673272328,44,10,1822745260,29045307.3,-1850527068,-1065353315,245523643,1026537279,30,1201864527,2,1.44E+18
34,4,96840453.5,-75858082.33,3159156003,46,10,1628971397,96840453.5,-1530184606,-693401503.5,-113542012,913895108.8,40,1022580451,2,1.05E+18
35,5,-437445093,404455204.6,3640096841,47,10,1977129521,-437445093,-1662967320,-1523450695,-1184312791,613889209.8,40,1310963956,2,1.72E+18
36,6,9271508,-228091985.7,3524922338,48,10,1626361565,9271508,-1898560773,-1163527797,38902020,1318563293,50,1285042059,2,1.65E+18
37,7,497863015,-15998295.22,3172128330,49,10,1556478029,497863015,-1615650301,174386727,455072678.5,1200601321,50,868100135.1,2,7.54E+17
38,8,362985179.2,99650332.89,3427637700,51,10,1811498338,362985179.2,-1616139362,-491553063.3,776723837,1025812379,50,1011870756,2,1.02E+18
39,9,-171105374.4,281048241.8,3970739867,52,10,1912941252,-171105374.4,-2057798615,-1212602056,41167781.5,738783573.3,60,1230164338,2,1.51E+18
40,0,35940919.6,36859857.67,2945016112,53,10,2008811733,35940919.6,-936204379,-576492097.3,-237546101,362012559.3,50,892207547.3,2,7.96E+17
41,1,-336924194.5,263296033.4,3397358693,54,10,1946035255,-336924194.5,-1451323438,-1256115113,-710841174.5,298476979.3,60,1107356358,2,1.23E+18
42,2,207993379.5,-289631839.4,3491082100,55,10,1444989924,207993379.5,-2046092176,-44622912,535740889.5,809474190,50,986552363.5,2,9.73E+17
43,3,224766750.9,-230799697,4066127419,56,10,2101819669,224766750.9,-1964307750,-885033528.8,364200033,1363503312,40,1413503188,2,2.00E+18
44,4,98632078.8,127356396,3665754906,57,10,2010553342,98632078.8,-1655201564,-972229036.3,-11704736.5,964403787.5,40,1220825640,2,1.49E+18
45,5,47463679.6,-78800369.33,3876482577,58,10,2094077020,47463679.6,-1782405557,-395303998.3,277121805,716077800.5,30,1124755428,2,1.27E+18
46,6,152585975,-4152626.222,3381943908,60,10,1494178767,152585975,-1887765141,-228566370,47146180.5,1027701254,40,1035459613,2,1.07E+18
47,7,791968081.4,-163301755.9,2496015067,61,10,1528683099,791968081.4,-967331968,584078411,751081890,1357503747,60,698162088.2,2,4.87E+17
48,8,-174679421.7,375223571.2,4228560976,62,10,2143779018,-174679421.7,-2084781958,-1299521311,-208512904.5,754335788,40,1422741959,2,2.02E+18
49,9,-328848878.1,-55124990,3379426502,64,10,1895872883,-328848878.1,-1483553619,-989408413.3,-659073674.5,210537498.3,40,1009646564,2,1.02E+18
50,0,411706493.9,209487335.8,3829269412,65,10,1980428192,411706493.9,-1848841220,-1016813473,1018500514,1631398683,50,1440582794,2,2.08E+18
51,1,-232980420.1,50444651.33,3760252358,66,10,1630615168,-232980420.1,-2129637190,-796363836.5,-240924097,336173184.3,60,953332734.8,2,9.09E+17
52,2,-272343166.1,5332675.889,3772339133,67,10,1961549732,-272343166.1,-1810789401,-1628946456,-437025445,980768423.8,40,1336538923,2,1.79E+18
53,3,-158354831.6,-341043852.4,4155424898,69,10,2115291178,-158354831.6,-2040133720,-1708711758,-393662475,1571817255,40,1651899460,2,2.73E+18
54,4,205974339.4,61981216.67,3465575427,70,10,1622386774,205974339.4,-1843188653,-716926433.8,703929801,1133807576,40,1168713905,2,1.37E+18
55,5,-353389366.6,-26999392.89,3421879532,71,10,1317527544,-353389366.6,-2104351988,-1426440715,-444087314,837341693.3,40,1232557611,2,1.52E+18
56,6,152368840.5,156263909.4,4265078495,72,10,2120339469,152368840.5,-2144739026,-891325491.5,427429759,1056012478,50,1380452945,2,1.91E+18
57,7,-496663932,194185008.3,3005952547,74,10,959945608,-496663932,-2046006939,-769903998,-565891911.5,-401926819.5,40,811989360.5,2,6.59E+17
58,8,556964867.3,46294978.78,3364985136,75,10,1918309749,556964867.3,-1446675387,-338188865.8,984084303,1151723663,40,1046272180,2,1.09E+18
59,9,-343076067.5,42864834.89,4173673616,76,10,2143631958,-343076067.5,-2030041658,-1096550728,-683873122,146737876.8,50,1285130713,2,1.65E+18
60,0,-426546969.8,-334836005.1,3463389093,77,10,1571122008,-426546969.8,-1892267085,-1515840870,-859104037.5,951945871,40,1333284555,2,1.78E+18
61,1,-226484031.1,-283501808.4,3367223601,79,10,1691727340,-226484031.1,-1675496261,-828001444.8,-393792277.5,368142013.3,40,956407874.6,2,9.15E+17
62,2,39252957.9,42157408.44,3531907010,80,10,1677250968,39252957.9,-1854656042,-1200606571,686251105,810343455.3,40,1213036839,2,1.47E+18
63,3,-268187084.3,182523438.3,3887350694,81,10,1873410558,-268187084.3,-2013940136,-1063541671,-326951677.5,21723075.75,40,1137220870,2,1.29E+18
64,4,-400709717.1,-406478965.7,3658310691,82,10,1875198446,-400709717.1,-1783112245,-1640612983,-410042512.5,564445399.8,20,1199175518,2,1.44E+18
65,5,155320070.3,60283322.67,2991961555,83,10,2059660337,155320070.3,-932301218,-772494201.8,-20252875.5,959930623.5,40,975520569.6,2,9.52E+17
66,6,-5318408.9,167209383,3639251874,84,10,2105288316,-5318408.9,-1533963558,-1066135266,-141169651.5,473215297.5,40,1203836331,2,1.45E+18
67,7,-385584153.1,198458668.7,2468947024,85,10,625460368,-385584153.1,-1843486656,-1049037774,-186814416.5,289005428.5,60,798987295.5,2,6.38E+17
68,8,565628555.8,124909496.1,3925517932,88,10,2017503026,565628555.8,-1908014906,-506248383.8,751601361,1887930895,50,1356189500,2,1.84E+18
69,9,-318927478.2,110725071.8,3830215765,90,10,2018307591,-318927478.2,-1811908174,-1470402988,-462163516.5,366181049,40,1265254887,2,1.60E+18
70,0,52448321.6,72851077.44,4065607240,91,10,2074346848,52448321.6,-1991260392,-823104935.8,131624907,880643473.8,50,1253659751,2,1.57E+18
71,1,37431100.3,383440977.6,3980574831,93,10,2053348329,37431100.3,-1927226502,-1222271606,307857145,1094278916,50,1370352948,2,1.88E+18
72,2,-183897354.5,-151604971,3075319484,95,10,1113236889,-183897354.5,-1962082595,-1307804709,341953747,759011567,60,1162794779,2,1.35E+18
73,3,582711414.6,-159610808.2,3180795317,96,10,2147008282,582711414.6,-1033787035,-693992040,864487522,1626492982,40,1177699558,2,1.39E+18
74,4,-217510645.1,-59567135.33,3582219465,97,10,1984549758,-217510645.1,-1597669707,-1285414887,-581679451,597667969,40,1289215418,2,1.66E+18
75,5,790682440.9,17697887.44,2690407814,98,10,1688200253,790682440.9,-1002207561,345218885.8,1057964601,1503343831,50,861318376.7,2,7.42E+17
76,6,190670802.1,-383647140.8,3590308529,99,10,1604530524,190670802.1,-1985778005,-622772795,155429122,1320204210,50,1161202119,2,1.35E+18
77,7,7264298.8,-303045456.4,4139041800,100,10,1998075381,7264298.8,-2140966419,-825540441,-256699295.5,913368474.3,40,1280948357,2,1.64E+18
78,8,4351630.4,-393651007.8,3896236973,101,10,1837943306,4351630.4,-2058293667,-1391708825,178652687.5,1200213048,30,1416341122,2,2.01E+18
79,9,287578213.8,99543618.22,3953376241,103,10,2099394200,287578213.8,-1853982041,-419809298,473793637.5,1488702509,50,1341629375,2,1.80E+18
80,0,271550714.5,-232590278.9,3614783739,105,10,2122595091,271550714.5,-1492188648,-789916719.5,434891507,1026297525,50,1158623382,2,1.34E+18
81,1,-92096163.1,-54958231.11,3455548109,106,10,1709889463,-92096163.1,-1745658646,-1108432518,-65833707,670503349.5,40,1169568125,2,1.37E+18
82,2,-275477982.3,-168617844.2,3510150370,107,10,1444762312,-275477982.3,-2065388058,-1171762831,65629044,549126880.3,30,1095291108,2,1.20E+18
83,3,148395517.6,47598438.22,3442731350,108,10,1320203260,148395517.6,-2122528090,-79457997,308840824,831858764.8,40,965672961.6,2,9.33E+17
84,4,-25167114.9,89969042,3448689757,109,10,1757330401,-25167114.9,-1691359356,-1009796431,-278439800,1152904538,50,1222628833,2,1.49E+18
85,5,-205710602.1,152592626,3674992158,111,10,1698236403,-205710602.1,-1976755755,-821285527.5,-298834380.5,253049645.3,40,970998734.9,2,9.43E+17
86,6,-241989965,128191118.9,3504213643,112,10,1871156320,-241989965,-1633057323,-1152435931,-583850804,644663677.3,40,1139481584,2,1.30E+18
87,7,-14112964.5,-173117322.4,3747205823,113,10,1971056295,-14112964.5,-1776149528,-977577631.3,-97365894,984130619.3,50,1275987202,2,1.63E+18
88,8,223589384.7,27669886.11,3926107756,114,10,2046889586,223589384.7,-1879218170,-638318023.8,213991986.5,982497168.3,50,1193239561,2,1.42E+18
89,9,58321173.3,-287337032.3,2722268893,115,10,1820804841,58321173.3,-901464052,-486815868.5,120528706.5,349077591.3,30,747636514.4,2,5.59E+17
90,0,45135599.6,-4410999.222,4003209354,116,10,2129173594,45135599.6,-1874035760,-1334266764,-151917380,1658778358,50,1566708528,2,2.45E+18
91,1,-269205070.8,339588532.4,3808006028,119,10,1668593906,-269205070.8,-2139412122,-1572584498,-342199758,1010575356,50,1367621557,2,1.87E+18
92,2,-215182704.7,70248576.44,3939558728,123,10,1984303487,-215182704.7,-1955255241,-1340052521,-590269554.5,990252897.5,40,1408284613,2,1.98E+18
93,3,-238927355.8,262098690.3,4191501980,125,10,2091960910,-238927355.8,-2099541070,-1703861728,85411059.5,911881564,60,1435961300,2,2.06E+18
94,4,-186401138.9,199360210.3,3858935499,126,10,1812170390,-186401138.9,-2046765109,-1093542380,-150525626,867674155.5,40,1280400717,2,1.64E+18
95,5,440827717.7,58459529.78,3798859786,129,10,2036472484,440827717.7,-1762387302,-245033794,760650241,1244935380,30,1253768340,2,1.57E+18
96,6,1922271.4,-58696788.78,3072205064,130,10,1642347033,1922271.4,-1429858031,-754049089.3,-357950260.5,801890554.8,40,984256989.9,2,9.69E+17
97,7,319727338.1,35823801.11,4157959247,132,10,2106536395,319727338.1,-2051422852,-194545561.5,371408771,1267206045,40,1203788772,2,1.45E+18
98,8,-370017001.8,98941762.89,3843015957,133,10,1845136669,-370017001.8,-1997879288,-1085784008,-511576312.5,121918782.5,60,1022849438,2,1.05E+18
99,9,308907147.5,-347846895.3,3885355458,134,10,1930458839,308907147.5,-1954896619,-400153003.8,558782735,1508998190,30,1353216553,2,1.83E+18
100,0,-38636755.4,-183066711.2,3643801382,135,10,2035913011,-38636755.4,-1607888371,-826609589.8,-263849123.5,672074538,40,1139144184,2,1.30E+18
101,1,-122304792.8,-189712314,3669369505,138,10,1587229664,-122304792.8,-2082139841,-1097666386,-290009355,937527896.3,40,1187278940,2,1.41E+18
102,2,493817670.5,237706195.7,3715785956,139,10,2099990866,493817670.5,-1615795090,-443014518.5,781151611,1662008661,40,1304520986,2,1.70E+18
103,3,325202547,-390895487.8,4128814702,141,10,1988468910,325202547,-2140345792,-1008226933,1124285509,1340432321,30,1481531266,2,2.19E+18
104,4,-229746347.9,-168192284.2,3640066702,142,10,1762858206,-229746347.9,-1877208496,-1186400819,-406371461,810340926.5,40,1230782747,2,1.51E+18
105,5,-46064706.6,110381604.7,2519766732,143,10,1432082588,-46064706.6,-1087684144,-633472897.5,-142484780,439792460.5,50,820809956.6,2,6.74E+17
106,6,-243731770.3,-196401863.1,2336804412,144,10,960572933,-243731770.3,-1376231479,-1193655230,-289210387.5,718001717.8,50,968115521.3,2,9.37E+17
